Movie_Name,Movie_Rating,Votes
The Bear,8.4,"101,791"
From,7.7,"43,634"
Star Trek: Strange New Worlds,8.2,"41,341"
X,6.6,"134,516"
Severance,8.7,"158,572"
Top Gun: Maverick,8.3,"602,283"
Reacher,8.1,"142,300"
House of the Dragon,8.5,"331,602"
The Batman,7.8,"707,079"
The Summer I Turned Pretty,7.4,"25,144"
Human Resources,7.1,"8,947"
Everything Everywhere All at Once,7.8,"458,450"
Ridley,6.6,"2,089"
Bullet Train,7.3,"367,324"
The Lincoln Lawyer,7.7,"42,296"
Triangle of Sadness,7.3,"142,004"
Fall,6.4,"86,311"
The Unbearable Weight of Massive Talent,7.0,"127,258"
How I Met Your Father,5.6,"22,726"
Deep Water,5.5,"51,420"
The Lord of the Rings: The Rings of Power,7.0,"333,436"
Black Bird,8.1,"81,905"
Thor: Love and Thunder,6.2,"368,074"
Tár,7.5,"75,654"
Terrifier 2,6.1,"36,986"
Living,7.3,"22,292"
A través de mi ventana,5.5,"13,850"
Nope,6.8,"234,147"
Where the Crawdads Sing,7.2,"100,700"
Scream,6.3,"139,138"
Barbarian,7.0,"151,837"
The Lake,6.2,"2,294"
Aftersun,7.7,"66,410"
Slow Horses,7.9,"42,781"
Jurassic World Dominion,5.6,"186,074"
The Sandman,7.7,"158,711"
Bodies Bodies Bodies,6.2,"52,813"
The Terminal List,7.9,"98,940"
Three Thousand Years of Longing,6.7,"50,180"
The Gray Man,6.5,"219,485"
To Leslie,7.1,"12,904"
Somebody Somewhere,8.0,"9,634"
The Northman,7.0,"230,268"
Bad Sisters,8.3,"26,564"
Death on the Nile,6.3,"162,980"
Candy,7.2,"20,822"
RRR (Rise Roar Revolt),7.8,"152,392"
The Offer,8.6,"33,622"
Doctor Strange in the Multiverse of Madness,6.9,"442,706"
Halo,7.2,"67,962"
